'c7fc3a5,fahmi2833,19 minutes ago,added tata file to the system'
'b147fbc,fahmi2833,51 minutes ago,create new file name icsfile'
'd691ecb,fahmi2833,16 hours ago,added stash files'
'31b060e,fahmi2833,16 hours ago,Merge branch 'master' of github.com:fahmi2833/BIMProject into master'
'e9c9eff,fahmi2833,16 hours ago,add new file'
'10a2c73,fahmi2833,16 hours ago,Merge pull request #4 from fahmi2833/Scroll'
'68f0c67,fahmi2833,16 hours ago,create new file named text file'
'a9f7bae,fahmi2833,16 hours ago,Ccraete new file called fahmi'
'c84eefd,fahmi2833,17 hours ago,Merge pull request #3 from fahmi183/master'
'2360e5f,fahmi183,18 hours ago,Merge pull request #1 from fahmi183/UpdateREADMe'
'fd00aa8,fahmi183,18 hours ago,Second Edit for read me'
'9769676,fahmi2833,18 hours ago,Merge pull request #2 from fahmi183/master'
'75e48e3,fahmi183,18 hours ago,new Update to Read me'
'e1b0916,fahmi2833,23 hours ago,Merge pull request #1 from fahmi183/master'
'3520829,fahmi183,23 hours ago,Create README.txt'
'812c55d,fahmi2833,23 hours ago,BIM Student Project'
